,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,SEASON
15,14,Scott Clemmensen,35,FLA,19,11,3,7,2,53,421,368,.874,3.67,0,0.7,866,3,.273,4,143,-15.92,0,0,0,0,2013
16,15,Corey Crawford,28,CHI,30,28,19,5,5,57,769,712,.926,1.94,3,6.0,1761,19,.679,1,84,10.73,0,0,0,4,2013
17,16,Yann Danis,31,EDM,3,0,1,0,0,7,59,52,.881,3.81,0,0.1,110,0,,0,,,0,0,0,0,2013
18,17,Cédrick Desjardins,27,TBL,3,2,0,3,0,8,73,65,.890,3.00,0,0.3,160,0,.000,0,,,0,0,0,0,2013
19,18,Rick DiPietro,31,NYI,3,3,0,3,0,12,83,71,.855,4.10,0,-0.1,176,0,.000,1,,,0,0,0,0,2013
20,19,Devan Dubnyk,26,EDM,38,37,14,16,6,90,1132,1042,.920,2.57,2,8.1,2101,20,.541,5,90,9.70,0,0,0,0,2013
21,20,Brian Elliott,27,STL,24,20,14,8,1,49,526,477,.907,2.28,3,2.9,1292,12,.600,6,106,-2.67,0,0,0,0,2013
22,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2013
23,21,Dan Ellis,32,CAR,19,16,6,8,2,52,555,503,.906,3.13,1,3.0,997,8,.500,4,106,-3.12,0,2,2,0,2013
24,22,Ray Emery,30,CHI,21,19,17,1,0,36,460,424,.922,1.94,3,3.4,1116,12,.632,1,89,4.52,0,0,0,0,2013
25,23,Jhonas Enroth,24,BUF,12,9,4,4,1,27,332,305,.919,2.60,1,2.3,623,7,.778,1,92,2.24,0,0,0,0,2013
26,24,Viktor Fasth,30,ANA,25,23,15,6,2,52,661,609,.921,2.18,4,4.8,1428,14,.609,3,89,6.22,0,0,0,0,2013
27,25,Marc-André Fleury,28,PIT,33,31,23,8,0,74,881,807,.916,2.39,1,5.9,1858,15,.484,5,95,3.60,0,2,2,2,2013
28,26,Jeff Frazee,25,NJD,1,0,0,0,0,0,3,3,1.000,0.00,0,0.1,19,0,,0,,,0,0,0,0,2013
29,27,Mathieu Garon,35,TBL,18,16,5,9,2,44,427,383,.897,2.90,0,1.9,910,6,.375,4,117,-6.39,0,0,0,0,2013
30,28,Jean-Sébastien Giguère,35,COL,18,14,5,4,4,43,469,426,.908,2.84,0,2.7,908,4,.286,1,104,-1.69,0,0,0,4,2013
31,29,Thomas Greiss,27,SJS,6,5,1,4,0,13,153,140,.915,2.53,1,1.0,308,3,.600,1,,,0,0,0,0,2013
32,30,Philipp Grubauer,21,WSH,2,1,0,1,0,5,59,54,.915,3.57,0,0.4,84,0,.000,0,,,0,0,0,0,2013
33,31,Jonas Gustavsson,28,DET,7,4,2,2,1,17,140,123,.879,2.92,0,0.3,349,2,.500,1,,,0,1,1,2,2013
34,32,Matt Hackett,22,MIN,1,1,0,1,0,5,33,28,.848,5.07,0,0.0,59,0,.000,1,,,0,0,0,0,2013
35,33,Jaroslav Halák,27,STL,16,15,6,5,1,29,286,257,.899,2.14,3,1.3,813,7,.467,4,115,-3.81,0,1,1,0,2013
36,34,Josh Harding,28,MIN,5,3,1,1,0,10,73,63,.863,3.24,1,0.0,185,1,.333,2,,,0,0,0,0,2013
37,35,Johan Hedberg,39,NJD,19,19,6,10,3,51,435,384,.883,2.76,1,1.2,1108,9,.474,6,133,-12.69,0,1,1,4,2013
38,36,Jonas Hiller,30,ANA,26,25,15,6,4,59,675,616,.913,2.36,1,4.2,1498,14,.560,2,99,0.45,0,1,1,2,2013
39,37,Braden Holtby,23,WSH,36,35,23,12,1,90,1123,1033,.920,2.58,4,8.0,2089,20,.571,5,91,8.91,0,2,2,2,2013
40,38,Jimmy Howard,28,DET,42,42,21,13,7,87,1129,1042,.923,2.13,5,8.4,2446,26,.619,7,87,12.44,0,1,1,0,2013
41,39,Carter Hutton,27,CHI,1,1,0,1,0,3,28,25,.893,3.06,0,0.1,59,0,.000,0,,,0,0,0,0,2013
42,40,Leland Irving,24,CGY,6,5,2,1,1,15,128,113,.883,3.33,0,0.3,270,1,.200,2,,,0,1,1,0,2013
44,41,Chad Johnson,26,PHX,4,4,2,0,2,5,108,103,.954,1.22,1,1.2,247,3,.750,0,,,0,0,0,0,2013
45,42,Nikolai Khabibulin,40,EDM,12,11,4,6,1,29,376,347,.923,2.55,1,2.8,684,6,.545,1,88,4.12,0,0,0,0,2013
46,43,Anton Khudobin,26,BOS,14,14,9,4,1,31,388,357,.920,2.32,1,2.8,803,8,.571,3,91,3.17,0,0,0,4,2013
47,44,Keith Kinkaid,23,NJD,1,0,0,0,0,1,13,12,.923,2.33,0,0.1,26,0,,0,,,0,0,0,0,2013
48,45,Miikka Kiprusoff,36,CGY,24,24,8,14,2,77,650,573,.882,3.44,0,1.6,1344,10,.417,9,134,-19.75,0,1,1,0,2013
49,46,Darcy Kuemper,22,MIN,6,3,1,2,0,10,119,109,.916,2.08,0,0.8,288,2,.667,0,,,0,0,0,0,2013
50,47,Jason LaBarbera,33,PHX,15,10,4,6,2,32,418,386,.923,2.64,0,3.1,726,5,.500,0,87,4.82,0,0,0,0,2013
51,48,Robin Lehner,21,OTT,12,12,5,3,4,27,424,397,.936,2.20,0,3.8,735,10,.833,0,72,10.34,0,0,0,0,2013
52,49,Kari Lehtonen,29,DAL,36,35,15,14,3,88,1050,962,.916,2.66,1,7.0,1986,21,.600,5,95,4.48,0,2,2,0,2013
53,50,Michael Leighton,31,PHI,1,1,0,1,0,5,26,21,.808,5.07,0,-0.2,59,0,.000,1,,,0,0,0,0,2013
54,51,Anders Lindbäck,24,TBL,24,21,10,10,1,63,642,579,.902,2.90,0,3.2,1304,11,.524,3,111,-6.45,0,1,1,0,2013
55,52,Henrik Lundqvist,30,NYR,43,43,24,16,3,88,1190,1102,.926,2.05,2,9.3,2575,29,.674,1,84,16.81,0,1,1,0,2013
56,53,Roberto Luongo*,33,VAN,20,18,9,6,3,51,551,500,.907,2.56,2,3.1,1197,11,.611,3,105,-2.47,0,0,0,0,2013
57,54,Joey MacDonald,32,CGY,21,17,8,9,1,55,562,507,.902,2.87,0,2.8,1148,7,.412,3,111,-5.50,0,0,0,0,2013
58,55,Jacob Markström,23,FLA,23,23,8,14,1,68,685,617,.901,3.22,0,3.3,1266,9,.391,6,113,-7.67,0,0,0,0,2013
59,56,Chris Mason,36,NSH,11,6,1,7,1,29,229,200,.873,3.73,0,0.4,467,3,.500,2,144,-8.83,0,0,0,0,2013
60,57,Steve Mason,24,TOT,20,17,7,8,1,47,561,514,.916,2.59,0,3.7,1090,7,.412,1,95,2.41,0,1,1,0,2013
63,58,Ryan Miller,32,BUF,40,39,17,17,5,108,1270,1162,.915,2.81,0,8.3,2302,21,.538,4,97,3.86,0,0,0,2,2013
64,59,Al Montoya,27,WPG,7,5,3,1,0,17,168,151,.899,2.90,1,0.8,351,2,.400,2,,,0,0,0,0,2013
65,60,Petr Mrázek,20,DET,2,2,1,1,0,4,51,47,.922,2.01,0,0.4,119,1,.500,0,,,0,0,0,0,2013
67,61,Evgeni Nabokov,37,NYI,41,41,23,11,7,103,1139,1036,.910,2.50,3,6.7,2475,20,.488,5,103,-2.68,0,4,4,6,2013
68,62,Michal Neuvirth,24,WSH,13,12,4,5,2,33,367,334,.910,2.74,0,2.2,723,7,.583,2,102,-0.68,0,0,0,0,2013
69,63,Antti Niemi,29,SJS,43,43,24,12,6,93,1220,1127,.924,2.16,4,9.2,2581,29,.674,3,87,14.45,0,1,1,2,2013
70,64,Cristopher Nilstorp,28,DAL,5,5,1,3,1,15,146,131,.897,3.09,0,0.6,291,2,.400,2,,,0,0,0,0,2013
71,65,Ondřej Pavelec,25,WPG,44,43,21,20,3,119,1251,1132,.905,2.80,0,6.6,2553,19,.442,8,108,-8.82,0,0,0,2,2013
72,66,Justin Peters,26,CAR,19,16,4,11,1,55,506,451,.891,3.46,1,1.9,954,6,.375,3,123,-10.43,0,0,0,0,2013
73,67,Kevin Poulin,22,NYI,5,4,1,3,0,13,122,109,.893,3.03,0,0.5,258,2,.500,1,,,0,0,0,0,2013
74,68,Carey Price,25,MTL,39,38,21,13,4,97,1018,921,.905,2.59,3,5.4,2249,21,.553,8,108,-7.34,0,0,0,0,2013
75,69,Jonathan Quick,27,LAK,37,36,18,13,4,87,889,802,.902,2.45,1,4.4,2134,20,.556,9,111,-8.70,0,0,0,2,2013
76,70,Tuukka Rask,25,BOS,36,34,19,10,5,70,980,910,.929,2.00,5,8.0,2104,25,.735,4,81,16.32,0,1,1,0,2013
77,71,James Reimer,24,TOR,33,31,19,8,5,76,995,919,.924,2.46,4,7.5,1856,17,.548,2,87,11.64,0,1,1,0,2013
78,72,Pekka Rinne,30,NSH,43,42,15,16,8,99,1101,1002,.910,2.43,5,6.5,2444,22,.524,10,102,-2.03,0,1,1,8,2013
79,73,Jussi Rynnäs,25,TOR,1,0,0,0,0,0,6,6,1.000,0.00,0,0.1,10,0,,0,,,0,0,0,0,2013
80,74,Cory Schneider,26,VAN,30,30,17,9,4,61,835,774,.927,2.11,5,6.6,1733,21,.700,4,83,12.54,0,1,1,0,2013
81,75,Ben Scrivens,26,TOR,20,17,7,9,0,46,542,496,.915,2.69,2,3.5,1025,10,.588,3,96,1.74,0,0,0,6,2013
82,76,Mike Smith,30,PHX,34,34,15,12,5,84,938,854,.910,2.58,5,5.6,1956,17,.500,7,102,-1.38,0,0,0,0,2013
83,77,Alex Stalock,25,SJS,2,0,0,0,1,2,13,11,.846,2.87,0,0.0,42,0,,0,,,0,0,0,0,2013
84,78,Daniel Taylor,26,CGY,2,2,1,1,0,6,68,62,.912,3.00,0,0.4,120,1,.500,0,,,0,0,0,0,2013
85,79,José Théodore,36,FLA,15,14,4,6,3,42,391,349,.893,3.29,0,1.5,766,5,.357,5,122,-7.56,0,0,0,2,2013
86,80,Semyon Varlamov,24,COL,35,33,11,21,3,98,1007,909,.903,3.02,3,5.1,1950,12,.364,7,110,-9.31,0,1,1,0,2013
88,81,Tomáš Vokoun,36,PIT,20,17,13,4,0,42,519,477,.919,2.45,3,3.6,1029,9,.529,5,92,3.71,0,2,2,2,2013
89,82,Cam Ward,28,CAR,17,16,9,6,1,44,477,433,.908,2.84,0,2.7,929,8,.500,3,105,-1.99,0,0,0,0,2013
0,1,Craig Anderson,30,OTT,63,60,33,22,6,165,1917,1752,.914,2.83,3,11.7,3492,34,.567,9,100,0.75,0,4,4,4,2012
1,2,Alex Auld,31,OTT,14,8,2,4,2,36,310,274,.884,3.35,0,0.8,645,2,.250,2,,,0,0,0,0,2012
2,3,Richard Bachman,24,DAL,18,15,8,5,1,43,477,434,.910,2.77,1,2.7,933,9,.600,2,104,-1.76,0,1,1,0,2012
3,4,Niklas Bäckström,33,MIN,46,45,19,18,7,105,1299,1194,.919,2.43,4,8.8,2590,24,.533,8,93,7.31,0,2,2,2,2012
4,5,Jonathan Bernier,23,LAK,16,13,5,6,2,35,383,348,.909,2.36,1,2.1,890,6,.462,1,106,-1.88,0,0,0,0,2012
5,6,Martin Biron,34,NYR,21,20,12,6,2,50,519,469,.904,2.46,2,2.5,1220,7,.350,4,111,-5.13,0,3,3,0,2012
6,7,Ben Bishop,25,OTT,10,9,3,3,2,22,243,221,.909,2.48,0,1.4,532,5,.556,1,,,0,0,0,2,2012
7,8,Sergei Bobrovsky,23,PHI,29,25,14,10,2,78,769,691,.899,3.02,0,3.3,1550,11,.440,5,117,-11.51,0,0,0,0,2012
8,9,Brian Boucher,35,CAR,10,8,1,6,1,31,260,229,.881,3.40,0,0.6,546,2,.250,2,,,0,0,0,0,2012
9,10,Martin Brodeur*,39,NJD,59,59,31,21,4,136,1472,1336,.908,2.41,3,7.9,3392,29,.492,11,107,-8.73,0,4,4,2,2012
10,11,Ilya Bryzgalov,31,PHI,59,57,33,16,7,141,1554,1413,.909,2.48,6,8.6,3415,32,.561,14,105,-6.64,0,2,2,4,2012
11,12,Peter Budaj,29,MTL,17,17,5,7,5,44,508,464,.913,2.55,0,3.1,1037,8,.471,0,100,-0.08,0,3,3,2,2012
12,13,Sébastien Caron,31,TBL,3,2,1,1,0,7,57,50,.877,3.12,0,0.1,135,1,.500,1,,,0,0,0,0,2012
13,14,Scott Clemmensen,34,FLA,30,25,14,6,6,67,773,706,.913,2.57,1,4.7,1566,16,.640,5,100,-0.16,0,1,1,0,2012
14,15,Ty Conklin,35,DET,15,13,5,6,1,44,378,334,.884,3.28,1,0.9,805,5,.385,4,135,-11.32,0,1,1,0,2012
15,16,Corey Crawford,27,CHI,57,55,30,17,7,146,1507,1361,.903,2.72,0,7.3,3218,27,.491,13,112,-15.70,0,0,0,0,2012
16,17,Yann Danis,30,EDM,1,0,0,0,0,2,12,10,.833,3.70,0,0.0,32,0,,0,,,0,0,0,0,2012
17,18,Jeff Deslauriers,27,ANA,4,4,3,1,0,11,113,102,.903,2.74,0,0.5,241,2,.500,0,,,0,0,0,0,2012
18,19,Rick DiPietro,30,NYI,8,6,3,2,3,22,177,155,.876,3.73,0,0.3,354,1,.167,2,,,0,2,2,0,2012
19,20,Devan Dubnyk,25,EDM,47,42,20,20,3,118,1380,1262,.914,2.67,2,8.5,2653,23,.548,6,99,1.32,0,1,1,0,2012
20,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2012
21,21,Brian Elliott,26,STL,38,36,23,10,4,58,972,914,.940,1.56,9,9.0,2235,28,.778,1,69,26.04,0,0,0,0,2012
22,22,Dan Ellis,31,ANA,10,5,1,5,0,19,214,195,.911,2.72,0,1.2,419,1,.200,1,,,0,1,1,0,2012
23,23,Ray Emery,29,CHI,34,27,15,9,4,83,834,751,.900,2.81,0,3.8,1774,12,.444,5,115,-10.89,0,1,1,2,2012
24,24,Jhonas Enroth,23,BUF,26,22,8,11,4,63,756,693,.917,2.70,1,4.9,1399,15,.682,4,96,2.37,0,0,0,2,2012
25,25,Marc-André Fleury,27,PIT,67,64,42,17,4,153,1768,1615,.913,2.36,3,10.7,3896,36,.563,7,100,-0.13,0,2,2,4,2012
26,26,Brian Foster,24,FLA,1,0,0,0,0,0,1,1,1.000,0.00,0,0.0,5,0,,0,,,0,0,0,0,2012
27,27,Mathieu Garon,34,TBL,48,44,23,16,4,118,1191,1073,.901,2.85,1,5.4,2484,20,.455,7,115,-15.02,0,2,2,0,2012
28,28,Jean-Sébastien Giguère,34,COL,32,30,15,11,3,69,850,781,.919,2.28,2,5.7,1820,19,.633,4,94,4.49,0,0,0,2,2012
29,29,Thomas Greiss,26,SJS,19,14,9,7,1,40,472,432,.915,2.30,0,3.0,1043,7,.500,2,98,0.81,0,0,0,2,2012
30,30,Jonas Gustavsson,27,TOR,42,36,17,17,4,112,1147,1035,.902,2.92,4,5.4,2301,14,.389,2,113,-12.83,0,1,1,4,2012
31,31,Matt Hackett,21,MIN,12,7,3,6,0,22,282,260,.922,2.38,0,2.0,556,3,.429,2,,,0,0,0,0,2012
32,32,Jaroslav Halák,26,STL,46,46,26,12,7,90,1211,1121,.926,1.97,6,9.1,2747,29,.630,5,86,14.71,0,0,0,0,2012
33,33,Josh Harding,27,MIN,34,30,13,12,4,81,981,900,.917,2.62,2,6.4,1855,18,.600,4,95,3.82,0,0,0,0,2012
34,34,Johan Hedberg,38,NJD,27,23,17,7,2,59,718,659,.918,2.22,4,4.7,1591,12,.522,1,95,3.08,0,0,0,2,2012
35,35,Jonas Hiller,29,ANA,73,72,29,30,12,182,2021,1839,.910,2.57,4,11.4,4253,39,.542,14,104,-7.26,0,1,1,0,2012
36,36,Braden Holtby,22,WSH,7,6,4,2,1,15,192,177,.922,2.50,1,1.4,361,3,.500,1,,,0,0,0,0,2012
37,37,Jimmy Howard,27,DET,57,57,35,17,4,119,1496,1377,.920,2.12,6,10.3,3360,35,.614,8,92,10.35,0,1,1,6,2012
38,38,Shawn Hunwick,24,CBJ,1,0,0,0,0,0,0,0,,0.00,0,0.0,3,0,,0,,,0,0,0,0,2012
39,39,Leland Irving,23,CGY,7,7,1,3,3,21,239,218,.912,3.19,0,1.4,394,5,.714,1,,,0,0,0,0,2012
40,40,Brent Johnson,34,PIT,16,14,6,7,2,42,359,317,.883,3.11,0,0.9,811,4,.286,5,135,-10.96,0,1,1,0,2012
42,41,Henrik Karlsson,28,CGY,9,7,1,4,2,24,239,215,.900,3.17,0,1.1,454,2,.286,1,,,0,0,0,0,2012
43,42,Nikolai Khabibulin,39,EDM,40,40,12,20,7,100,1114,1014,.910,2.65,2,6.3,2261,20,.500,6,104,-3.68,0,0,0,0,2012
44,43,Anton Khudobin,25,BOS,1,1,1,0,0,1,45,44,.978,1.00,0,0.6,60,1,1.000,0,,,0,0,0,0,2012
45,44,Miikka Kiprusoff,35,CGY,70,68,35,22,11,162,2040,1878,.921,2.35,4,14.1,4128,40,.588,6,92,14.38,0,0,0,0,2012
46,45,Jason LaBarbera,32,PHX,19,14,3,9,3,43,486,443,.912,2.54,0,2.8,1015,8,.571,1,102,-0.98,0,0,0,2,2012
47,46,Robin Lehner,20,OTT,5,5,3,2,0,10,154,144,.935,2.01,1,1.3,299,4,.800,0,,,0,0,0,0,2012
48,47,Kari Lehtonen,28,DAL,59,59,32,22,4,136,1739,1603,.922,2.33,4,12.3,3497,36,.610,7,90,14.36,0,3,3,0,2012
49,48,Anders Lindbäck,23,NSH,16,10,5,8,0,32,364,332,.912,2.42,0,2.1,792,5,.500,2,102,-0.53,0,1,1,0,2012
50,49,Henrik Lundqvist,29,NYR,62,62,39,18,5,123,1753,1630,.930,1.97,8,14.1,3754,40,.645,3,81,28.57,0,2,2,4,2012
51,50,Roberto Luongo*,32,VAN,55,54,31,14,8,127,1577,1450,.919,2.41,5,10.7,3162,32,.593,7,93,9.35,0,1,1,4,2012
52,51,Joey MacDonald,31,DET,14,12,8,5,1,29,330,301,.912,2.16,0,1.9,806,5,.417,1,102,-0.47,0,0,0,0,2012
53,52,Drew MacIntyre,28,BUF,2,0,0,0,0,1,18,17,.944,1.38,0,0.2,43,0,,0,,,0,0,0,0,2012
54,53,Peter Mannino,27,WPG,1,0,0,0,0,0,4,4,1.000,0.00,0,0.1,20,0,,0,,,0,0,0,0,2012
55,54,Jacob Markström,22,FLA,7,6,2,4,1,17,222,205,.923,2.66,0,1.6,383,3,.500,0,,,0,0,0,0,2012
56,55,Chris Mason,35,WPG,20,15,8,7,1,43,422,379,.898,2.59,2,1.8,995,6,.400,3,118,-6.51,0,0,0,0,2012
57,56,Steve Mason,23,CBJ,46,45,16,26,3,143,1355,1212,.894,3.39,1,5.1,2534,19,.422,15,122,-25.84,0,2,2,2,2012
58,57,Curtis McElhinney,28,PHX,2,1,1,0,0,2,36,34,.944,1.67,0,0.4,72,1,1.000,0,,,0,0,0,0,2012
59,58,Ryan Miller,31,BUF,61,60,31,21,7,150,1788,1638,.916,2.54,6,11.4,3536,33,.550,7,97,4.59,0,0,0,0,2012
60,59,Al Montoya,26,NYI,31,26,9,11,5,89,832,743,.893,3.11,0,3.0,1720,13,.500,8,124,-17.06,0,0,0,2,2012
61,60,Mike Murphy,23,CAR,2,0,0,1,0,0,9,9,1.000,0.00,0,0.1,36,0,,0,,,0,0,0,0,2012
63,61,Evgeni Nabokov,36,NYI,42,41,19,18,3,101,1172,1071,.914,2.55,2,7.2,2378,23,.561,8,100,0.33,0,0,0,6,2012
64,62,Michal Neuvirth,23,WSH,38,30,13,13,5,95,976,881,.903,2.82,3,4.7,2020,15,.500,4,113,-10.61,0,1,1,2,2012
65,63,Antti Niemi,28,SJS,68,68,34,22,9,159,1865,1706,.915,2.42,6,11.6,3936,36,.529,9,99,2.25,0,0,0,2,2012
66,64,Anders Nilsson,21,NYI,4,3,1,2,0,10,112,102,.911,2.75,1,0.6,218,2,.667,0,,,0,0,0,0,2012
67,65,Ondřej Pavelec,24,WPG,68,67,29,28,9,191,2036,1845,.906,2.91,4,10.6,3932,35,.522,12,108,-14.96,0,2,2,0,2012
68,66,Justin Peters,25,CAR,7,6,2,3,2,16,233,217,.931,2.48,1,1.9,387,5,.833,0,,,0,0,0,0,2012
69,67,Kevin Poulin,21,NYI,6,6,2,4,0,15,162,147,.907,3.04,0,0.9,296,2,.333,1,,,0,1,1,0,2012
70,68,Carey Price,24,MTL,65,65,26,28,11,160,1914,1754,.916,2.43,4,12.3,3944,35,.538,8,97,5.49,0,2,2,6,2012
71,69,Jonathan Quick,26,LAK,69,68,35,21,13,133,1863,1730,.929,1.95,10,14.7,4099,43,.632,8,83,28.08,0,2,2,6,2012
72,70,Tuukka Rask,24,BOS,23,22,11,8,3,44,621,577,.929,2.05,3,4.9,1289,13,.591,4,82,9.69,0,0,0,2,2012
73,71,Andrew Raycroft,31,DAL,10,8,2,8,0,31,303,272,.898,3.51,0,1.3,529,3,.375,2,,,0,0,0,0,2012
74,72,James Reimer,23,TOR,34,34,14,14,4,97,974,877,.900,3.10,3,4.4,1879,13,.382,9,115,-12.79,0,0,0,0,2012
75,73,Pekka Rinne,29,NSH,73,72,43,18,8,166,2153,1987,.923,2.39,5,15.5,4169,44,.611,10,89,20.15,0,5,5,0,2012
76,74,Dwayne Roloson,42,TBL,40,31,13,16,3,128,1126,998,.886,3.66,1,3.2,2099,9,.290,9,131,-30.64,0,0,0,6,2012
77,75,Jussi Rynnäs,24,TOR,2,1,0,1,0,7,40,33,.825,4.25,0,-0.2,99,0,.000,1,,,0,0,0,0,2012
78,76,Curtis Sanford,32,CBJ,36,32,10,18,4,86,971,885,.911,2.60,1,5.7,1983,18,.563,6,102,-2.05,0,0,0,0,2012
79,77,Cory Schneider,25,VAN,33,28,20,8,1,60,945,885,.937,1.96,3,8.4,1833,20,.714,2,73,21.71,0,2,2,0,2012
80,78,Ben Scrivens,25,TOR,12,11,4,5,2,35,359,324,.903,3.13,0,1.7,672,5,.455,1,113,-3.96,0,0,0,4,2012
81,79,Mike Smith,29,PHX,67,67,38,18,10,144,2066,1922,.930,2.21,8,16.7,3903,42,.627,9,81,34.63,0,2,2,16,2012
82,80,Iiro Tarkki,26,ANA,1,0,1,0,0,3,10,7,.700,4.41,0,-0.2,41,0,,0,,,0,0,0,0,2012
84,81,José Théodore,35,FLA,53,51,22,16,11,125,1502,1377,.917,2.46,3,9.7,3049,32,.627,6,96,4.87,0,0,0,2,2012
85,82,Brad Thiessen,25,PIT,5,4,3,1,0,16,113,97,.858,3.72,0,-0.1,258,2,.500,1,,,0,0,0,2,2012
86,83,Tim Thomas,37,BOS,59,55,35,19,1,132,1659,1527,.920,2.36,5,11.5,3352,30,.545,3,92,11.44,0,1,1,0,2012
87,84,Dustin Tokarski,22,TBL,5,5,1,3,1,14,116,102,.879,3.45,0,0.2,244,1,.200,2,,,0,1,1,2,2012
88,85,Marty Turco,36,BOS,5,4,2,2,0,16,110,94,.855,3.68,0,-0.1,261,1,.250,2,,,0,0,0,2,2012
89,86,Semyon Varlamov,23,COL,53,52,26,24,3,136,1564,1428,.913,2.59,4,9.4,3151,28,.538,10,101,-0.77,0,1,1,2,2012
90,87,Tomáš Vokoun,35,WSH,48,46,25,17,2,108,1299,1191,.917,2.51,4,8.4,2583,23,.500,8,96,4.31,0,2,2,4,2012
91,88,Cam Ward,27,CAR,68,68,30,23,13,182,2143,1961,.915,2.74,5,13.4,3988,38,.559,10,98,3.29,1,0,1,4,2012
92,89,Allen York,22,CBJ,11,5,3,2,0,16,199,183,.920,2.30,0,1.4,417,3,.600,0,,,0,0,0,0,2012
0,1,Craig Anderson,29,TOT,51,49,24,20,4,135,1546,1411,.913,2.83,2,9.2,2865,29,.592,10,100,-0.32,0,1,1,4,2011
3,2,Alex Auld,30,MTL,16,12,6,2,2,33,383,350,.914,2.64,0,2.3,749,6,.500,2,99,0.37,0,1,1,2,2011
4,3,Richard Bachman,23,DAL,1,0,0,0,0,0,4,4,1.000,0.00,0,0.1,10,0,,0,,,0,0,0,0,2011
5,4,Niklas Bäckström,32,MIN,51,50,22,23,5,132,1566,1434,.916,2.66,3,9.8,2978,29,.580,9,97,4.42,0,1,1,2,2011
6,5,Jonathan Bernier,22,LAK,25,22,11,8,3,57,652,595,.913,2.48,3,3.9,1378,14,.636,5,100,-0.20,0,0,0,0,2011
7,6,Martin Biron,33,NYR,17,15,8,6,0,33,426,393,.923,2.13,0,3.0,928,10,.667,1,89,4.11,0,0,0,0,2011
8,7,Ben Bishop,24,STL,7,5,3,4,0,17,168,151,.899,2.77,1,0.7,369,2,.400,3,,,0,0,0,0,2011
9,8,Sergei Bobrovsky,22,PHI,54,52,28,13,8,130,1527,1397,.915,2.59,0,9.4,3017,34,.654,6,98,3.03,0,2,2,2,2011
10,9,Brian Boucher,34,PHI,34,29,18,10,4,76,902,826,.916,2.42,0,5.7,1885,17,.586,3,97,2.58,0,0,0,0,2011
11,10,Martin Brodeur*,38,NJD,56,54,23,26,3,127,1313,1186,.903,2.45,6,6.3,3116,28,.519,9,111,-12.62,0,2,2,2,2011
12,11,Mike Brodeur,27,OTT,4,1,0,1,0,7,42,35,.833,4.34,0,-0.1,97,0,.000,1,,,0,0,0,0,2011
13,12,Ilya Bryzgalov,30,PHX,68,67,36,20,10,168,2125,1957,.921,2.48,7,14.7,4060,40,.597,6,91,17.12,0,0,0,2,2011
14,13,Peter Budaj,28,COL,45,39,15,21,4,130,1234,1104,.895,3.20,1,4.7,2439,13,.333,7,121,-22.50,0,1,1,6,2011
15,14,Scott Clemmensen,33,FLA,31,25,8,11,7,74,833,759,.911,2.62,1,4.8,1696,10,.400,4,102,-1.43,0,1,1,2,2011
16,15,Matt Climie,27,PHX,1,0,0,0,0,1,16,15,.938,1.85,0,0.1,32,0,,0,,,0,0,0,0,2011
17,16,Ty Conklin,34,STL,25,20,8,8,4,69,582,513,.881,3.22,2,1.3,1285,6,.300,7,136,-18.30,0,0,0,4,2011
18,17,Corey Crawford,26,CHI,57,55,33,18,6,128,1545,1417,.917,2.30,4,10.0,3337,34,.618,6,95,6.59,0,1,1,2,2011
19,18,Mark Dekanich,24,NSH,1,0,0,0,0,3,25,22,.880,3.60,0,0.1,50,0,,0,,,0,0,0,0,2011
20,19,Cédrick Desjardins,25,TBL,2,2,2,0,0,2,63,61,.968,1.00,0,0.8,120,2,1.000,0,,,0,0,0,0,2011
21,20,Rick DiPietro,29,NYI,26,25,8,14,4,88,773,685,.886,3.44,1,2.2,1533,9,.360,7,131,-20.66,0,1,1,25,2011
22,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2011
23,21,Devan Dubnyk,24,EDM,35,33,12,13,8,93,1103,1010,.916,2.71,2,6.9,2061,18,.545,6,97,3.09,0,0,0,2,2011
24,22,Brian Elliott,25,TOT,55,51,15,27,9,166,1551,1385,.893,3.34,3,5.6,2983,17,.333,15,123,-30.88,0,0,0,0,2011
27,23,Dan Ellis,30,TOT,44,37,21,10,7,111,1089,978,.898,2.77,2,4.6,2408,16,.432,10,117,-16.13,0,1,1,0,2011
30,24,Ray Emery,28,ANA,10,9,7,2,0,20,272,252,.926,2.28,0,2.1,527,5,.556,0,,,0,0,0,0,2011
31,25,Jhonas Enroth,22,BUF,14,13,9,2,2,35,377,342,.907,2.73,1,2.0,769,7,.538,2,107,-2.16,0,0,0,0,2011
32,26,Marc-André Fleury,26,PIT,65,62,36,20,5,143,1742,1599,.918,2.32,3,11.4,3695,37,.597,10,94,8.76,0,1,1,10,2011
