,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,SEASON
87,77,Antti Raanta,27,NYR,30,26,16,8,2,61,782,721,.922,2.26,4,5.4,1617,18,.692,1,90,6.67,0,1,1,0,2017
88,78,Tuukka Rask,29,BOS,65,63,37,20,5,137,1610,1473,.915,2.23,8,9.8,3680,31,.492,14,98,2.33,0,2,2,0,2017
89,79,James Reimer,28,FLA,43,39,18,16,5,98,1222,1124,.920,2.53,3,8.1,2325,19,.487,4,93,7.75,0,0,0,2,2017
90,80,Pekka Rinne,34,NSH,61,61,31,19,9,144,1757,1613,.918,2.42,3,11.3,3568,34,.557,7,95,8.05,0,0,0,4,2017
92,81,David Rittich,24,CGY,1,0,0,0,0,1,10,9,.900,3.00,0,0.0,20,0,,0,,,0,0,0,0,2017
93,82,Juuse Saros,21,NSH,21,19,10,8,3,47,614,567,.923,2.35,1,4.4,1200,13,.684,1,88,6.14,0,1,1,0,2017
94,83,Cory Schneider,30,NJD,60,59,20,27,11,163,1781,1618,.908,2.82,2,9.5,3473,27,.458,7,106,-8.87,0,0,0,0,2017
95,84,Jeremy Smith,27,COL,10,8,1,6,1,32,286,254,.888,3.54,0,0.8,543,3,.375,3,,,0,0,0,0,2017
96,85,Mike Smith,34,ARI,55,55,19,26,9,156,1819,1663,.914,2.92,3,10.9,3202,27,.491,7,99,1.42,0,0,0,14,2017
97,86,Alex Stalock,29,MIN,2,2,1,1,0,3,54,51,.944,1.51,0,0.5,119,2,1.000,0,,,0,0,0,0,2017
98,87,Anthony Stolarz,23,PHI,7,4,2,1,1,13,181,168,.928,2.07,1,1.4,376,2,.500,1,,,0,0,0,0,2017
99,88,Malcolm Subban,23,BOS,1,1,0,1,0,3,16,13,.813,5.88,0,-0.1,31,0,.000,1,,,0,0,0,0,2017
100,89,Cam Talbot,29,EDM,73,73,42,22,8,171,2117,1946,.919,2.39,7,14.0,4294,43,.589,10,93,12.21,0,0,0,4,2017
101,90,Dustin Tokarski,27,ANA,1,0,0,0,0,0,5,5,1.000,0.00,0,0.1,10,0,,0,,,0,0,0,0,2017
102,91,Linus Ullmark,23,BUF,1,1,0,1,0,3,36,33,.917,3.06,0,0.2,59,1,1.000,0,,,0,0,0,0,2017
103,92,Semyon Varlamov,28,COL,24,23,6,17,0,76,745,669,.898,3.38,1,3.1,1348,11,.478,5,118,-11.53,0,1,1,0,2017
104,93,Andrei Vasilevskiy,22,TBL,50,47,23,17,7,123,1480,1357,.917,2.61,2,9.3,2831,25,.532,5,96,5.08,0,2,2,2,2017
105,94,Cam Ward,32,CAR,61,61,26,22,12,162,1711,1549,.905,2.69,2,8.5,3618,30,.492,9,109,-13.93,0,1,1,6,2017
106,95,Jeff Zatkoff,29,LAK,13,8,2,7,1,27,223,196,.879,2.94,0,0.4,550,2,.250,4,,,0,0,0,0,2017
0,1,Jake Allen,25,STL,47,44,26,15,3,101,1260,1159,.920,2.35,6,8.2,2583,26,.591,6,94,6.28,0,0,0,0,2016
1,2,Frederik Andersen,26,ANA,43,37,22,9,7,88,1086,998,.919,2.30,3,7.0,2298,24,.649,5,95,4.46,0,1,1,2,2016
2,3,Craig Anderson,34,OTT,60,60,31,23,5,161,1915,1754,.916,2.78,4,11.6,3477,31,.517,8,99,2.05,0,2,2,0,2016
3,4,Richard Bachman,28,VAN,1,1,1,0,0,3,31,28,.903,3.01,0,0.1,60,0,.000,0,,,0,0,0,0,2016
4,5,Niklas Bäckström,37,CGY,4,3,2,2,0,13,109,96,.881,3.35,0,0.2,233,2,.667,1,,,0,0,0,0,2016
5,6,Jonathan Bernier,27,TOR,38,36,12,21,3,103,1114,1011,.908,2.88,3,5.6,2147,19,.528,8,109,-8.15,0,0,0,2,2016
6,7,Reto Berra,29,COL,14,12,5,8,0,29,374,345,.922,2.41,2,2.5,721,7,.583,2,91,2.84,0,1,1,2,2016
7,8,Jean-François Bérubé,24,NYI,7,6,3,2,1,18,210,192,.914,2.71,0,1.2,399,4,.667,1,,,0,0,0,0,2016
8,9,Jordan Binnington,22,STL,1,0,0,0,0,1,4,3,.750,4.69,0,-0.1,13,0,,0,,,0,0,0,0,2016
9,10,Ben Bishop,29,TBL,61,60,35,21,4,123,1672,1549,.926,2.06,6,12.2,3585,37,.617,4,86,19.36,0,1,1,4,2016
10,11,Sergei Bobrovsky,27,CBJ,37,37,15,19,1,97,1049,952,.908,2.75,1,5.3,2116,18,.486,8,109,-7.69,0,2,2,2,2016
11,12,Laurent Brossoit,22,EDM,5,5,0,4,1,18,142,124,.873,3.61,0,0.1,300,1,.200,2,,,0,0,0,0,2016
12,13,Peter Budaj,33,LAK,1,1,1,0,0,4,28,24,.857,3.85,0,0.0,62,0,.000,0,,,0,0,0,0,2016
13,14,Mike Condon,25,MTL,55,51,21,25,6,141,1458,1317,.903,2.71,1,6.6,3123,24,.471,9,114,-16.86,0,0,0,0,2016
14,15,Pheonix Copley,24,STL,1,0,0,0,0,1,6,5,.833,2.46,0,0.0,24,0,,0,,,0,0,0,0,2016
15,16,Corey Crawford,31,CHI,58,58,35,18,5,131,1718,1587,.924,2.37,7,12.0,3323,40,.690,9,90,15.27,0,1,1,2,2016
16,17,Yann Danis,34,NJD,2,0,0,1,0,4,18,14,.778,4.75,0,-0.2,51,0,,0,,,0,0,0,0,2016
17,18,Scott Darling,27,CHI,29,24,12,8,4,67,784,717,.915,2.58,1,4.6,1560,13,.542,5,100,-0.25,0,0,0,0,2016
18,19,Louis Domingue,23,ARI,39,36,15,18,5,101,1142,1041,.912,2.75,2,6.3,2206,20,.556,5,104,-3.77,0,1,1,0,2016
19,20,Chris Driedger,21,OTT,1,0,0,0,0,0,11,11,1.000,0.00,0,0.2,32,0,,0,,,0,0,0,0,2016
20,Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2016
21,21,Devan Dubnyk,29,MIN,67,66,32,26,6,150,1829,1679,.918,2.33,5,11.5,3861,34,.515,5,96,5.73,0,0,0,8,2016
22,22,Brian Elliott,30,STL,42,38,23,8,6,78,1113,1035,.930,2.07,4,8.6,2261,26,.684,6,82,16.76,0,0,0,2,2016
23,23,Jhonas Enroth,27,LAK,16,13,7,5,1,31,398,367,.922,2.17,2,2.7,856,8,.615,1,91,2.89,0,0,0,0,2016
24,24,Marc-André Fleury,31,PIT,58,58,35,17,6,132,1665,1533,.921,2.29,5,11.0,3463,33,.569,5,93,9.76,0,1,1,2,2016
25,25,Anton Forsberg,23,CBJ,4,3,1,3,0,9,97,88,.907,3.03,0,0.5,178,1,.333,0,,,0,0,0,0,2016
26,26,Christopher Gibson,23,NYI,4,2,1,1,1,11,93,82,.882,3.40,0,0.2,194,0,.000,1,,,0,0,0,0,2016
27,27,John Gibson,22,ANA,40,38,21,13,4,79,992,913,.920,2.07,4,6.5,2295,21,.553,3,94,5.46,0,1,1,2,2016
28,28,Thomas Greiss,30,NYI,41,38,23,11,4,90,1197,1107,.925,2.36,1,8.5,2287,22,.579,2,88,11.92,0,1,1,2,2016
29,29,Philipp Grubauer,24,WSH,22,16,8,9,1,43,523,480,.918,2.32,0,3.3,1111,7,.438,2,97,1.53,0,0,0,2,2016
30,30,Kristers Gudlevskis,23,TBL,1,1,0,0,1,1,32,31,.969,1.00,0,0.4,60,1,1.000,0,,,0,0,0,0,2016
31,31,Jonas Gustavsson,31,BOS,24,20,11,9,1,57,622,565,.908,2.72,1,3.2,1258,9,.450,2,108,-4.04,0,0,0,0,2016
32,32,Jaroslav Halák,30,NYI,36,36,18,13,4,80,984,904,.919,2.30,3,6.3,2091,21,.583,6,95,3.78,0,1,1,0,2016
33,33,Andrew Hammond,27,OTT,24,21,7,11,4,61,712,651,.914,2.65,1,4.2,1382,13,.619,1,101,-0.38,0,0,0,2,2016
34,34,Magnus Hellberg,24,NYR,1,0,0,0,0,2,6,4,.667,6.00,0,-0.1,20,0,,0,,,0,0,0,0,2016
35,35,Connor Hellebuyck,22,WPG,26,26,13,11,1,56,683,627,.918,2.34,2,4.3,1433,14,.538,6,96,2.15,0,0,0,0,2016
36,36,Jonas Hiller,33,CGY,26,23,9,11,1,79,654,575,.879,3.51,1,1.1,1351,7,.304,8,142,-23.32,0,0,0,0,2016
