RK,PLAYER,AGE,TM,GOALIE_STATS_GP,GOALIE_STATS_GS,GOALIE_STATS_W,GOALIE_STATS_L,GOALIE_STATS_T/O,GOALIE_STATS_GA,SA,SV,SV%,GOALIE_STATS_GAA,GOALIE_STATS_SO,GPS,GOALIE_STATS_MIN,GOALIE_STATS_QS,GOALIE_STATS_QS%,GOALIE_STATS_RBS,GOALIE_STATS_GA%-,GOALIE_STATS_GSAA,SCORING_G,SCORING_A,SCORING_PTS,SCORING_PIM,SEASON
24,Marc Denis,24,CBJ,42,,9,24,5,121,1197,1076,.899,3.11,1,6.2,2335,,,,110,-10.58,0,1,1,2,2002
25,Patrick DesRochers,22,PHX,5,,1,2,1,15,99,84,.848,3.71,0,-0.1,243,,,,,,0,0,0,2,2002
26,Reinhard Divis,26,STL,1,,0,0,0,0,4,4,1.000,0.00,0,0.1,25,,,,,,0,0,0,0,2002
27,Mike Dunham,29,NSH,58,,23,24,9,144,1525,1381,.906,2.62,3,9.0,3316,,,,102,-3.32,0,2,2,2,2002
28,Robert Esche,24,PHX,22,,6,10,2,52,533,481,.902,2.73,1,3.0,1145,,,,106,-2.83,0,0,0,16,2002
29,Bob Essensa,37,BUF,9,,0,5,0,17,113,96,.850,2.91,0,-0.1,350,,,,,,0,0,0,0,2002
30,Manny Fernandez,27,MIN,44,,12,24,5,125,1157,1032,.892,3.05,1,5.0,2463,,,,117,-18.27,0,0,0,4,2002
31,Stéphane Fiset,31,MTL,2,,0,1,0,7,60,53,.883,3.85,0,0.2,109,,,,,,0,0,0,0,2002
32,Wade Flaherty,34,FLA,4,,2,1,1,12,148,136,.919,2.94,0,1.1,245,,,,,,0,0,0,0,2002
33,Mathieu Garon,24,MTL,5,,1,4,0,19,147,128,.871,4.37,0,0.3,261,,,,,,0,0,0,0,2002
34,Jean-Sébastien Giguère,24,MDA,53,,20,25,6,111,1384,1273,.920,2.13,4,10.4,3127,,,,87,16.67,0,0,0,28,2002
35,John Grahame,26,BOS,19,,8,7,2,52,503,451,.897,2.95,1,2.5,1079,,,,112,-5.60,0,1,1,6,2002
36,Derek Gustafson,22,MIN,1,,0,0,0,0,7,7,1.000,0.00,0,0.1,26,,,,,,0,0,0,0,2002
37,Jeff Hackett,33,MTL,15,,5,5,2,38,395,357,.904,3.18,0,2.3,717,,,,104,-1.56,0,0,0,2,2002
38,Dominik Hašek,37,DET,65,,41,15,8,140,1654,1514,.915,2.17,5,11.6,3872,,,,92,12.58,0,1,1,8,2002
39,Johan Hedberg,28,PIT,66,,25,34,7,178,1851,1673,.904,2.76,6,10.6,3877,,,,104,-7.25,0,1,1,22,2002
40,Milan Hnilička,28,ATL,60,,13,33,10,179,1956,1777,.908,3.17,3,12.2,3367,,,,99,1.44,0,2,2,8,2002
41,Johan Holmqvist,23,NYR,1,,0,0,0,0,2,2,1.000,0.00,0,0.0,9,,,,,,0,0,0,0,2002
42,Jani Hurme,27,OTT,25,,12,9,1,54,578,524,.907,2.48,3,3.5,1309,,,,101,-0.68,0,0,0,17,2002
43,Artūrs Irbe,34,CAR,51,,20,19,11,126,1282,1156,.902,2.54,3,7.0,2974,,,,107,-7.74,0,1,1,10,2002
44,Brent Johnson,24,STL,58,,34,20,4,127,1293,1166,.902,2.18,5,7.1,3491,,,,106,-7.72,0,4,4,2,2002
45,Curtis Joseph,34,TOR,51,,29,17,5,114,1210,1096,.906,2.23,4,7.2,3065,,,,102,-2.38,0,1,1,10,2002
46,Nikolai Khabibulin,29,TBL,70,,24,32,10,153,1914,1761,.920,2.36,7,14.5,3896,,,,87,23.56,0,2,2,6,2002
47,Trevor Kidd,29,FLA,33,,4,16,5,90,857,767,.895,3.21,1,4.0,1683,,,,114,-10.94,0,1,1,0,2002
48,Miikka Kiprusoff,25,SJS,20,,7,6,3,43,508,465,.915,2.49,2,3.6,1037,,,,92,3.86,0,0,0,4,2002
49,Dieter Kochan,27,TBL,5,,0,3,1,16,129,113,.876,4.06,0,0.3,237,,,,,,0,0,0,0,2002
50,Olaf Kölzig,31,WSH,71,,31,29,8,192,1977,1785,.903,2.79,6,11.1,4131,,,,105,-9.62,0,1,1,8,2002
51,Jean-François Labbé,29,CBJ,3,,1,1,0,6,68,62,.912,3.07,0,0.5,117,,,,,,0,0,0,0,2002
52,Simon Lajeunesse,21,OTT,1,,0,0,0,0,9,9,1.000,0.00,0,0.2,24,,,,,,0,0,0,0,2002
53,Patrick Lalime,27,OTT,61,,27,24,8,148,1521,1373,.903,2.48,7,8.5,3583,,,,105,-7.69,0,1,1,19,2002
