RK,PLAYER,AGE,TM,GOALIE_STATS_GP,GOALIE_STATS_GS,GOALIE_STATS_W,GOALIE_STATS_L,GOALIE_STATS_T/O,GOALIE_STATS_GA,SA,SV,SV%,GOALIE_STATS_GAA,GOALIE_STATS_SO,GPS,GOALIE_STATS_MIN,GOALIE_STATS_QS,GOALIE_STATS_QS%,GOALIE_STATS_RBS,GOALIE_STATS_GA%-,GOALIE_STATS_GSAA,SCORING_G,SCORING_A,SCORING_PTS,SCORING_PIM,SEASON
6,Jonathan Bernier,27,TOR,38,36,12,21,3,103,1114,1011,.908,2.88,3,5.6,2147,19,.528,8,109,-8.15,0,0,0,2,2016
7,Reto Berra,29,COL,14,12,5,8,0,29,374,345,.922,2.41,2,2.5,721,7,.583,2,91,2.84,0,1,1,2,2016
8,Jean-François Bérubé,24,NYI,7,6,3,2,1,18,210,192,.914,2.71,0,1.2,399,4,.667,1,,,0,0,0,0,2016
9,Jordan Binnington,22,STL,1,0,0,0,0,1,4,3,.750,4.69,0,-0.1,13,0,,0,,,0,0,0,0,2016
10,Ben Bishop,29,TBL,61,60,35,21,4,123,1672,1549,.926,2.06,6,12.2,3585,37,.617,4,86,19.36,0,1,1,4,2016
11,Sergei Bobrovsky,27,CBJ,37,37,15,19,1,97,1049,952,.908,2.75,1,5.3,2116,18,.486,8,109,-7.69,0,2,2,2,2016
12,Laurent Brossoit,22,EDM,5,5,0,4,1,18,142,124,.873,3.61,0,0.1,300,1,.200,2,,,0,0,0,0,2016
13,Peter Budaj,33,LAK,1,1,1,0,0,4,28,24,.857,3.85,0,0.0,62,0,.000,0,,,0,0,0,0,2016
14,Mike Condon,25,MTL,55,51,21,25,6,141,1458,1317,.903,2.71,1,6.6,3123,24,.471,9,114,-16.86,0,0,0,0,2016
15,Pheonix Copley,24,STL,1,0,0,0,0,1,6,5,.833,2.46,0,0.0,24,0,,0,,,0,0,0,0,2016
16,Corey Crawford,31,CHI,58,58,35,18,5,131,1718,1587,.924,2.37,7,12.0,3323,40,.690,9,90,15.27,0,1,1,2,2016
17,Yann Danis,34,NJD,2,0,0,1,0,4,18,14,.778,4.75,0,-0.2,51,0,,0,,,0,0,0,0,2016
18,Scott Darling,27,CHI,29,24,12,8,4,67,784,717,.915,2.58,1,4.6,1560,13,.542,5,100,-0.25,0,0,0,0,2016
19,Louis Domingue,23,ARI,39,36,15,18,5,101,1142,1041,.912,2.75,2,6.3,2206,20,.556,5,104,-3.77,0,1,1,0,2016
20,Chris Driedger,21,OTT,1,0,0,0,0,0,11,11,1.000,0.00,0,0.2,32,0,,0,,,0,0,0,0,2016
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2016
21,Devan Dubnyk,29,MIN,67,66,32,26,6,150,1829,1679,.918,2.33,5,11.5,3861,34,.515,5,96,5.73,0,0,0,8,2016
22,Brian Elliott,30,STL,42,38,23,8,6,78,1113,1035,.930,2.07,4,8.6,2261,26,.684,6,82,16.76,0,0,0,2,2016
23,Jhonas Enroth,27,LAK,16,13,7,5,1,31,398,367,.922,2.17,2,2.7,856,8,.615,1,91,2.89,0,0,0,0,2016
24,Marc-André Fleury,31,PIT,58,58,35,17,6,132,1665,1533,.921,2.29,5,11.0,3463,33,.569,5,93,9.76,0,1,1,2,2016
25,Anton Forsberg,23,CBJ,4,3,1,3,0,9,97,88,.907,3.03,0,0.5,178,1,.333,0,,,0,0,0,0,2016
26,Christopher Gibson,23,NYI,4,2,1,1,1,11,93,82,.882,3.40,0,0.2,194,0,.000,1,,,0,0,0,0,2016
27,John Gibson,22,ANA,40,38,21,13,4,79,992,913,.920,2.07,4,6.5,2295,21,.553,3,94,5.46,0,1,1,2,2016
28,Thomas Greiss,30,NYI,41,38,23,11,4,90,1197,1107,.925,2.36,1,8.5,2287,22,.579,2,88,11.92,0,1,1,2,2016
29,Philipp Grubauer,24,WSH,22,16,8,9,1,43,523,480,.918,2.32,0,3.3,1111,7,.438,2,97,1.53,0,0,0,2,2016
30,Kristers Gudlevskis,23,TBL,1,1,0,0,1,1,32,31,.969,1.00,0,0.4,60,1,1.000,0,,,0,0,0,0,2016
31,Jonas Gustavsson,31,BOS,24,20,11,9,1,57,622,565,.908,2.72,1,3.2,1258,9,.450,2,108,-4.04,0,0,0,0,2016
32,Jaroslav Halák,30,NYI,36,36,18,13,4,80,984,904,.919,2.30,3,6.3,2091,21,.583,6,95,3.78,0,1,1,0,2016
33,Andrew Hammond,27,OTT,24,21,7,11,4,61,712,651,.914,2.65,1,4.2,1382,13,.619,1,101,-0.38,0,0,0,2,2016
34,Magnus Hellberg,24,NYR,1,0,0,0,0,2,6,4,.667,6.00,0,-0.1,20,0,,0,,,0,0,0,0,2016
35,Connor Hellebuyck,22,WPG,26,26,13,11,1,56,683,627,.918,2.34,2,4.3,1433,14,.538,6,96,2.15,0,0,0,0,2016
36,Jonas Hiller,33,CGY,26,23,9,11,1,79,654,575,.879,3.51,1,1.1,1351,7,.304,8,142,-23.32,0,0,0,0,2016
37,Braden Holtby,26,WSH,66,66,48,9,7,141,1802,1661,.922,2.20,3,12.1,3841,42,.636,6,92,12.43,0,1,1,6,2016
38,Jimmy Howard,31,DET,37,33,14,14,5,92,979,887,.906,2.80,2,4.8,1974,16,.485,6,110,-8.65,0,1,1,2,2016
39,Michael Hutchinson,25,WPG,30,25,9,15,3,75,805,730,.907,2.84,0,4.0,1586,9,.360,3,109,-6.46,0,0,0,0,2016
40,Carter Hutton,30,NSH,17,15,7,5,4,38,464,426,.918,2.33,2,2.9,979,7,.467,1,96,1.51,0,1,1,0,2016
41,Chad Johnson,29,BUF,45,40,22,16,4,102,1270,1168,.920,2.36,1,8.2,2591,23,.575,3,94,6.13,0,2,2,0,2016
42,Martin Jones,26,SJS,65,65,37,23,4,143,1734,1591,.918,2.27,6,10.8,3786,36,.554,9,97,4.64,0,0,0,0,2016
43,Jason Kasdorf,23,BUF,1,1,0,1,0,4,30,26,.867,4.00,0,0.0,60,0,.000,0,,,0,0,0,0,2016
44,Anton Khudobin,29,ANA,9,7,3,3,0,16,175,159,.909,2.69,1,0.9,356,3,.429,3,,,0,0,0,0,2016
45,Keith Kinkaid,26,NJD,23,20,9,9,1,58,605,547,.904,2.81,2,2.8,1240,10,.500,5,113,-6.49,0,0,0,2,2016
46,Joonas Korpisalo,21,CBJ,31,30,16,11,4,78,969,891,.920,2.60,0,6.3,1803,16,.533,1,95,4.50,0,0,0,2,2016
47,Darcy Kuemper,25,MIN,21,16,6,7,5,43,507,464,.915,2.43,2,3.0,1063,8,.500,2,100,0.17,0,0,0,2,2016
48,Eddie Läck,28,CAR,34,31,12,14,6,90,910,820,.901,2.81,2,3.9,1920,14,.452,7,116,-12.52,0,2,2,0,2016
49,Robin Lehner,24,BUF,21,21,5,9,5,48,634,586,.924,2.47,1,4.5,1164,13,.619,3,89,5.98,0,1,1,8,2016
50,Kari Lehtonen,32,DAL,43,39,25,10,2,105,1121,1016,.906,2.76,2,5.5,2279,20,.513,5,110,-9.56,0,3,3,2,2016
51,Michael Leighton,34,CHI,1,0,0,0,0,1,17,16,.941,1.52,0,0.2,39,0,,0,,,0,0,0,0,2016
52,Anders Lindbäck,27,ARI,19,13,5,7,1,47,443,396,.894,3.11,0,1.5,906,5,.385,4,125,-9.28,0,1,1,0,2016
53,Charlie Lindgren,22,MTL,1,1,1,0,0,2,28,26,.929,2.00,0,0.2,60,1,1.000,0,,,0,0,0,0,2016
54,Henrik Lundqvist,33,NYR,65,64,35,21,7,156,1944,1788,.920,2.48,4,12.6,3772,39,.609,6,94,9.52,0,4,4,4,2016
55,Roberto Luongo,36,FLA,62,60,35,19,6,141,1801,1660,.922,2.35,4,12.1,3602,34,.567,8,92,12.34,0,2,2,4,2016
56,Jacob Markström,26,VAN,33,30,13,14,4,84,988,904,.915,2.73,0,5.9,1847,17,.567,4,100,0.12,0,2,2,4,2016
57,Steve Mason,27,PHI,54,53,23,19,10,132,1602,1470,.918,2.51,4,10.0,3150,28,.528,5,97,4.40,0,0,0,2,2016
58,Curtis McElhinney,32,CBJ,18,12,2,7,3,46,417,371,.890,3.30,0,1.2,835,3,.250,3,130,-10.50,0,1,1,0,2016
59,Ryan Miller,35,VAN,51,51,17,24,9,137,1634,1497,.916,2.70,1,9.9,3043,25,.490,2,98,2.12,0,1,1,2,2016
60,Al Montoya,30,FLA,25,22,12,7,3,49,608,559,.919,2.18,0,3.9,1351,14,.636,3,95,2.77,0,0,0,2,2016
61,Petr Mrázek,23,DET,54,49,27,16,6,115,1448,1333,.921,2.33,4,9.5,2961,31,.633,5,93,8.29,0,2,2,2,2016
62,Matt Murray,21,PIT,13,13,9,2,1,25,355,330,.930,2.00,1,2.7,749,10,.769,0,83,5.23,0,0,0,0,2016
63,Michal Neuvirth,27,PHI,32,29,18,8,4,69,908,839,.924,2.27,3,6.4,1825,17,.586,3,89,8.31,0,1,1,2,2016
64,Antti Niemi,32,DAL,48,43,25,13,7,118,1246,1128,.905,2.67,3,5.9,2654,19,.442,8,111,-11.91,0,2,2,2,2016
65,Anders Nilsson,25,TOT,29,24,10,13,2,78,789,711,.901,3.12,0,3.4,1500,11,.458,5,116,-10.82,0,1,1,4,2016
66,Matt O'Connor,23,OTT,1,1,0,1,0,3,34,31,.912,3.10,0,0.2,58,0,.000,0,,,0,0,0,0,2016
67,Joni Ortio,24,CGY,22,19,7,9,5,55,564,509,.902,2.76,1,2.5,1196,9,.474,3,115,-6.98,0,0,0,2,2016
68,Ondřej Pavelec,28,WPG,33,31,13,13,4,88,918,830,.904,2.78,1,4.3,1899,14,.452,6,113,-9.84,0,0,0,0,2016
69,Calvin Pickard,23,COL,20,13,7,6,1,42,539,497,.922,2.56,1,3.6,985,8,.615,1,92,3.89,0,1,1,0,2016
70,Carey Price,28,MTL,12,12,10,2,0,24,365,341,.934,2.06,2,3.0,698,8,.667,1,77,7.08,0,0,0,0,2016
71,Jonathan Quick,30,LAK,68,68,40,23,5,149,1820,1671,.918,2.22,5,11.5,4034,38,.559,9,96,5.96,0,3,3,10,2016
72,Antti Raanta,26,NYR,25,18,11,6,2,43,530,487,.919,2.24,1,3.4,1145,12,.667,4,95,2.13,0,0,0,0,2016
73,Karri Rämö,29,CGY,37,37,17,18,1,94,1034,940,.909,2.63,1,5.4,2145,20,.541,4,107,-5.96,0,1,1,0,2016
74,Tuukka Rask,28,BOS,64,62,31,22,8,157,1854,1697,.915,2.56,4,11.1,3678,34,.548,10,99,0.85,0,1,1,0,2016
75,James Reimer,27,TOT,40,37,17,14,7,88,1128,1040,.922,2.31,3,7.6,2290,22,.595,6,92,8.04,0,0,0,0,2016
76,Pekka Rinne,33,NSH,66,66,34,21,10,161,1744,1583,.908,2.48,4,8.8,3895,32,.485,11,108,-12.51,0,2,2,6,2016
77,Juuse Saros,20,NSH,1,1,0,1,0,3,23,20,.870,3.10,0,0.0,58,0,.000,0,,,0,0,0,0,2016
78,Cory Schneider,29,NJD,58,58,27,25,6,122,1597,1475,.924,2.15,4,11.1,3412,40,.690,7,90,13.97,0,0,0,0,2016
79,Ben Scrivens,29,MTL,15,14,5,8,0,42,447,405,.906,3.07,0,2.2,822,4,.286,2,110,-3.94,0,0,0,0,2016
80,Mike Smith,33,ARI,32,32,15,13,2,77,921,844,.916,2.64,3,5.6,1753,16,.500,7,98,1.42,0,1,1,2,2016
81,Garret Sparks,22,TOR,17,17,6,9,1,49,456,407,.893,3.02,1,1.5,975,6,.353,4,126,-10.18,0,0,0,0,2016
82,Alex Stalock,28,SJS,13,9,3,5,2,33,285,252,.884,2.94,0,0.6,674,2,.222,5,,,0,1,1,0,2016
83,Cam Talbot,28,EDM,56,53,21,27,5,137,1648,1511,.917,2.55,3,10.1,3223,26,.491,4,98,3.31,0,1,1,0,2016
84,Dustin Tokarski,26,MTL,6,4,1,3,0,12,98,86,.878,3.18,0,0.1,226,1,.250,2,,,0,0,0,0,2016
85,Niklas Treutle,24,ARI,2,1,0,1,0,5,20,15,.750,6.04,0,-0.3,50,0,.000,1,,,0,0,0,2,2016
86,Linus Ullmark,22,BUF,20,20,8,10,2,49,565,516,.913,2.60,0,3.2,1131,12,.600,4,102,-0.89,0,0,0,0,2016
87,Semyon Varlamov,27,COL,57,57,27,25,3,148,1714,1566,.914,2.81,2,9.9,3159,25,.439,10,101,-2.07,0,0,0,6,2016
88,Andrei Vasilevskiy,21,TBL,24,21,11,10,0,58,646,588,.910,2.76,1,3.5,1259,7,.333,3,105,-3.00,0,0,0,0,2016
89,Cam Ward,31,CAR,52,51,23,17,10,122,1343,1221,.909,2.41,1,7.0,3038,23,.451,7,107,-7.65,0,0,0,0,2016
90,Scott Wedgewood,23,NJD,4,4,2,1,1,5,116,111,.957,1.25,1,1.3,241,3,.750,0,,,0,0,0,0,2016
91,Roman Will,23,COL,1,0,0,0,0,1,3,2,.667,3.25,0,-0.1,18,0,,0,,,0,0,0,0,2016
92,Jeff Zatkoff,28,PIT,14,11,4,7,1,34,408,374,.917,2.79,0,2.5,732,7,.636,3,98,0.74,0,0,0,0,2016
1,Jake Allen,24,STL,37,32,22,7,4,79,909,830,.913,2.28,4,5.3,2077,17,.531,6,102,-1.41,0,2,2,2,2015
2,Frederik Andersen,25,ANA,54,53,35,12,5,123,1436,1313,.914,2.38,3,8.6,3106,32,.604,9,100,-0.43,0,3,3,4,2015
3,Craig Anderson,33,OTT,35,35,14,13,8,87,1134,1047,.923,2.49,3,8.0,2093,17,.486,2,90,9.79,0,0,0,4,2015
4,Richard Bachman,27,EDM,6,4,3,2,0,15,168,153,.911,2.84,1,0.9,317,3,.750,1,,,0,0,0,0,2015
5,Niklas Bäckström,36,MIN,19,14,5,7,3,51,452,401,.887,3.05,0,1.2,1005,2,.143,4,132,-12.42,0,0,0,2,2015
6,Jonathan Bernier,26,TOR,58,55,21,28,7,152,1735,1583,.912,2.87,2,10.0,3177,26,.473,11,103,-3.91,0,1,1,0,2015
7,Reto Berra,28,COL,19,12,5,4,1,33,403,370,.918,2.65,1,2.6,746,5,.417,2,96,1.40,0,0,0,0,2015
8,Ben Bishop,28,TBL,62,59,40,13,5,136,1620,1484,.916,2.32,4,10.0,3519,33,.559,8,98,2.27,0,4,4,4,2015
9,Sergei Bobrovsky,26,CBJ,51,49,30,17,3,134,1632,1498,.918,2.68,2,10.4,2994,26,.531,3,96,5.30,0,2,2,4,2015
10,Martin Brodeur,42,STL,7,5,3,3,0,17,169,152,.899,2.87,1,0.7,356,2,.400,2,,,0,0,0,0,2015
11,Laurent Brossoit,21,EDM,1,1,0,1,0,2,51,49,.961,2.01,0,0.6,60,1,1.000,0,,,0,0,0,0,2015
12,Ilya Bryzgalov,34,ANA,8,6,1,4,1,23,150,127,.847,4.19,0,-0.3,329,2,.333,3,,,0,2,2,0,2015
13,Tyler Bunz,22,EDM,1,0,0,0,0,3,12,9,.750,9.00,0,-0.2,20,0,,0,,,0,0,0,0,2015
14,Scott Clemmensen,37,NJD,3,1,0,0,1,8,54,46,.852,4.73,0,-0.1,102,0,.000,0,,,0,0,0,0,2015
15,Corey Crawford,30,CHI,57,57,32,20,5,126,1661,1535,.924,2.27,2,11.9,3333,38,.667,4,89,15.77,0,1,1,8,2015
16,John Curry,30,MIN,2,1,0,0,1,5,25,20,.800,4.18,0,-0.2,72,0,.000,1,,,0,0,0,0,2015
17,Scott Darling,26,CHI,14,13,9,4,0,27,419,392,.936,1.95,1,3.6,833,10,.769,0,75,8.76,0,0,0,0,2015
18,Louis Domingue,22,ARI,7,4,1,2,1,14,158,144,.911,2.73,0,0.9,308,3,.750,0,,,0,0,0,0,2015
19,Chris Driedger,20,OTT,1,0,0,0,0,0,10,10,1.000,0.00,0,0.2,23,0,,0,,,0,0,0,0,2015
20,Devan Dubnyk,28,TOT,58,55,36,14,4,115,1625,1510,.929,2.07,6,12.6,3328,36,.655,4,83,23.70,0,2,2,2,2015
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2015
21,Brian Elliott,29,STL,46,45,26,14,3,96,1150,1054,.917,2.26,5,7.2,2546,27,.600,8,98,2.16,0,3,3,0,2015
22,Dan Ellis,34,FLA,8,8,4,3,1,19,221,202,.914,2.34,1,1.3,486,4,.500,0,,,0,0,0,0,2015
23,Ray Emery,32,PHI,31,25,10,11,7,80,758,678,.894,3.06,0,2.7,1570,13,.520,6,124,-15.30,0,0,0,4,2015
24,Jhonas Enroth,26,TOT,50,44,18,26,2,145,1504,1359,.904,3.07,2,7.0,2834,20,.455,7,113,-16.63,0,0,0,0,2015
25,Viktor Fasth,32,EDM,26,24,6,15,3,76,681,605,.888,3.41,0,1.9,1336,9,.375,9,131,-17.87,0,0,0,0,2015
26,Marc-André Fleury,30,PIT,64,64,34,20,9,146,1831,1685,.920,2.32,10,12.2,3776,35,.547,6,93,10.28,0,1,1,6,2015
27,Anton Forsberg,22,CBJ,5,5,0,4,0,20,149,129,.866,4.69,0,0.0,256,0,.000,1,,,0,0,0,0,2015
28,John Gibson,21,ANA,23,21,13,8,0,58,674,616,.914,2.60,1,4.0,1340,13,.619,4,101,-0.47,0,0,0,0,2015
29,Thomas Greiss,29,PIT,20,18,9,6,3,50,546,496,.908,2.59,0,2.9,1159,8,.444,2,107,-3.40,0,0,0,0,2015
30,Troy Grosenick,25,SJS,2,2,1,1,0,3,58,55,.948,1.52,1,0.6,118,1,.500,1,,,0,0,0,0,2015
31,Philipp Grubauer,23,WSH,1,1,1,0,0,2,25,23,.920,1.85,0,0.2,65,1,1.000,0,,,0,0,0,0,2015
32,Jonas Gustavsson,30,DET,7,6,3,3,1,15,168,153,.911,2.56,1,0.9,351,3,.500,2,,,0,0,0,2,2015
33,Matt Hackett,24,BUF,5,4,0,4,1,18,155,137,.884,4.32,0,0.4,250,1,.250,1,,,0,0,0,0,2015
34,Jaroslav Halák,29,NYI,59,59,38,17,4,144,1673,1529,.914,2.43,6,9.9,3550,33,.559,7,101,-1.20,0,1,1,2,2015
35,Andrew Hammond,26,OTT,24,23,20,1,2,42,707,665,.941,1.79,3,6.5,1411,18,.783,1,70,18.34,0,1,1,0,2015
36,Jonas Hiller,32,CGY,52,44,26,19,4,113,1376,1263,.918,2.36,1,8.8,2871,23,.523,3,96,4.45,0,0,0,0,2015
37,Braden Holtby,25,WSH,73,72,41,20,10,157,2044,1887,.923,2.22,9,14.4,4247,43,.597,7,90,17.46,0,2,2,2,2015
38,Jimmy Howard,30,DET,53,50,23,13,11,121,1350,1229,.910,2.44,2,7.4,2971,26,.520,8,105,-5.77,0,1,1,2,2015
39,Michael Hutchinson,24,WPG,38,36,21,10,5,85,986,901,.914,2.38,2,5.8,2138,19,.528,7,101,-0.84,0,0,0,0,2015
40,Carter Hutton,29,NSH,18,17,6,7,4,44,450,406,.902,2.61,1,2.0,1010,6,.353,3,115,-5.59,0,0,0,0,2015
41,Chad Johnson,28,NYI,19,17,8,8,1,54,488,434,.889,3.08,0,1.4,1053,7,.412,6,130,-12.35,0,0,0,0,2015
42,Martin Jones,25,LAK,15,11,4,5,2,29,307,278,.906,2.24,3,1.5,775,5,.455,2,,,0,1,1,0,2015
43,Anton Khudobin,28,CAR,34,32,8,17,6,87,874,787,.900,2.72,1,3.8,1920,16,.500,9,117,-12.40,0,0,0,0,2015
44,Keith Kinkaid,25,NJD,19,13,6,5,4,40,469,429,.915,2.59,0,2.8,925,8,.615,0,100,0.03,0,0,0,0,2015
45,Darcy Kuemper,24,MIN,31,28,14,12,2,68,718,650,.905,2.60,3,3.5,1569,15,.536,7,111,-6.72,0,0,0,0,2015
46,Jason LaBarbera,35,ANA,5,2,2,0,1,9,99,90,.909,2.60,0,0.5,207,2,1.000,0,,,0,0,0,0,2015
47,Eddie Läck,27,VAN,41,35,18,13,4,95,1201,1106,.921,2.45,2,8.1,2324,18,.514,5,93,7.51,0,0,0,2,2015
48,Robin Lehner,23,OTT,25,24,9,12,3,74,779,705,.905,3.02,0,3.8,1471,11,.458,2,111,-7.51,0,1,1,0,2015
49,Kari Lehtonen,31,DAL,65,65,34,17,10,181,1875,1694,.903,2.94,5,8.7,3698,30,.462,12,113,-20.96,0,3,3,2,2015
50,Anders Lindbäck,26,TOT,26,22,6,16,2,73,798,725,.909,3.11,0,4.2,1408,8,.364,3,107,-4.89,0,1,1,4,2015
51,Henrik Lundqvist,32,NYR,46,46,30,13,3,103,1329,1226,.922,2.25,5,9.2,2743,29,.630,4,91,10.43,0,1,1,0,2015
52,Roberto Luongo,35,FLA,61,61,28,19,12,138,1743,1605,.921,2.35,2,11.8,3528,36,.590,9,93,10.77,0,0,0,0,2015
53,Andrey Makarov,21,BUF,1,1,0,1,0,3,36,33,.917,3.00,0,0.2,60,1,1.000,0,,,0,0,0,0,2015
54,Jacob Markström,25,VAN,3,2,1,1,0,4,33,29,.879,3.09,0,0.1,78,1,.500,1,,,0,0,0,0,2015
55,Steve Mason,26,PHI,51,48,18,18,11,108,1490,1382,.928,2.25,3,11.3,2885,29,.604,4,85,19.18,0,3,3,2,2015
56,Marek Mazanec,23,NSH,2,1,0,1,0,4,47,43,.915,2.27,0,0.3,106,1,1.000,0,,,0,0,0,0,2015
57,Thomas McCollum,25,DET,2,0,1,0,0,1,25,24,.960,0.91,0,0.3,66,0,,0,,,0,0,0,0,2015
58,Curtis McElhinney,31,CBJ,32,28,12,14,2,82,949,867,.914,2.88,0,5.6,1710,12,.429,2,101,-1.00,0,0,0,0,2015
59,Mike McKenna,31,ARI,1,1,0,1,0,5,34,29,.853,5.00,0,0.0,60,0,.000,0,,,0,0,0,0,2015
60,Ryan Miller,34,VAN,45,45,29,15,1,107,1198,1091,.911,2.53,6,6.6,2542,22,.489,8,105,-4.75,0,0,0,0,2015
61,Al Montoya,29,FLA,20,13,6,7,2,49,453,404,.892,3.01,0,1.5,977,6,.462,3,127,-10.33,0,0,0,2,2015
62,Petr Mrázek,22,DET,29,26,16,9,2,63,768,705,.918,2.38,3,4.9,1585,15,.577,6,96,2.55,0,0,0,0,2015
63,Evgeni Nabokov,39,TBL,11,9,3,6,2,29,245,216,.882,3.14,0,0.5,553,5,.556,2,,,0,1,1,2,2015
64,Michal Neuvirth,26,TOT,32,32,7,20,4,92,1067,975,.914,2.98,0,6.3,1850,16,.500,4,101,-0.93,0,0,0,0,2015
65,Antti Niemi,31,SJS,61,61,31,23,7,155,1811,1656,.914,2.59,5,10.8,3588,32,.525,9,100,-0.43,0,3,3,0,2015
66,Joni Ortio,23,CGY,6,6,4,2,0,14,153,139,.908,2.52,1,0.8,333,3,.500,2,,,0,0,0,0,2015
67,Ondřej Pavelec,27,WPG,50,46,22,16,8,108,1353,1245,.920,2.28,5,9.0,2838,23,.500,5,94,7.48,0,0,0,2,2015
68,Justin Peters,28,WSH,12,9,3,6,1,35,294,259,.881,3.25,0,0.6,647,1,.111,3,,,0,0,0,0,2015
69,Calvin Pickard,22,COL,16,13,6,7,3,35,511,476,.932,2.35,0,4.1,895,9,.692,1,80,8.62,0,0,0,0,2015
70,Kevin Poulin,24,NYI,1,1,0,0,1,3,26,23,.885,2.77,0,0.1,65,0,.000,0,,,0,0,0,0,2015
71,Carey Price,27,MTL,66,66,44,16,6,130,1953,1823,.933,1.96,9,16.2,3977,39,.591,6,78,36.70,0,1,1,4,2015
72,Jonathan Quick,29,LAK,72,71,36,22,13,156,1896,1740,.918,2.24,6,12.1,4184,36,.507,9,96,5.83,0,1,1,18,2015
73,Antti Raanta,25,CHI,14,12,7,4,1,25,389,364,.936,1.89,2,3.3,792,8,.667,1,75,8.20,0,0,0,0,2015
74,Karri Rämö,28,CGY,34,32,15,9,3,75,852,777,.912,2.60,2,4.8,1731,14,.438,5,103,-2.28,0,0,0,0,2015
75,Tuukka Rask,27,BOS,70,67,34,21,13,156,2011,1855,.922,2.30,3,14.0,4063,42,.627,8,91,15.65,0,0,0,8,2015
76,James Reimer,26,TOR,35,27,9,16,1,93,1001,908,.907,3.16,0,5.1,1767,13,.481,7,109,-7.56,0,0,0,2,2015
77,Pekka Rinne,32,NSH,64,64,41,17,6,140,1807,1667,.923,2.18,4,12.6,3851,43,.672,7,91,14.23,0,1,1,8,2015
78,Jussi Rynnäs,27,DAL,2,1,0,1,0,7,44,37,.841,4.54,0,-0.1,92,0,.000,1,,,0,0,0,0,2015
79,Cory Schneider,28,NJD,69,68,26,31,9,148,1982,1834,.925,2.26,5,14.5,3924,41,.603,7,87,21.17,0,2,2,0,2015
80,Ben Scrivens,28,EDM,57,53,15,26,11,170,1542,1372,.890,3.16,1,4.6,3228,19,.358,13,129,-38.39,0,1,1,4,2015
81,Mackenzie Skapski,20,NYR,2,2,2,0,0,1,45,44,.978,0.50,1,0.6,119,2,1.000,0,,,0,0,0,0,2015
82,Mike Smith,32,ARI,62,61,14,42,5,187,1955,1768,.904,3.16,0,9.3,3556,29,.475,12,112,-20.13,0,1,1,10,2015
83,Alex Stalock,27,SJS,22,19,8,9,2,54,553,499,.902,2.62,2,2.5,1237,10,.526,1,114,-6.80,0,0,0,2,2015
84,Malcolm Subban,21,BOS,1,1,0,1,0,3,6,3,.500,5.76,0,-0.3,31,0,.000,1,,,0,0,0,0,2015
85,Niklas Svedberg,25,BOS,18,14,7,5,1,35,425,390,.918,2.33,2,2.7,900,9,.643,2,96,1.28,0,0,0,0,2015
86,Cam Talbot,27,NYR,36,34,21,9,4,77,1038,961,.926,2.21,5,7.6,2095,17,.500,2,87,11.60,0,0,0,0,2015
87,Dustin Tokarski,25,MTL,17,16,6,6,4,46,509,463,.910,2.75,0,2.7,1005,8,.500,1,106,-2.56,0,1,1,0,2015
88,Semyon Varlamov,26,COL,57,57,28,20,8,141,1791,1650,.921,2.56,5,12.2,3307,33,.579,6,92,11.87,0,0,0,4,2015
89,Andrei Vasilevskiy,20,TBL,16,13,7,5,1,34,415,381,.918,2.36,1,2.7,864,7,.538,1,96,1.42,0,0,0,0,2015
90,Cam Ward,30,CAR,51,50,22,24,5,121,1351,1230,.910,2.40,1,7.4,3026,26,.520,7,105,-5.69,0,0,0,4,2015
91,Jeff Zatkoff,27,PIT,1,0,0,1,0,1,17,16,.941,1.63,0,0.2,37,0,,0,,,0,0,0,0,2015
92,Rob Zepp,33,PHI,10,9,5,2,0,25,223,198,.888,2.89,0,0.6,519,1,.111,2,,,0,0,0,0,2015
1,Sami Aittokallio,21,COL,1,1,0,1,0,3,18,15,.833,4.50,0,-0.1,40,0,.000,1,,,0,0,0,0,2014
2,Frederik Andersen,24,ANA,28,24,20,5,0,60,783,723,.923,2.29,0,5.6,1569,12,.500,0,89,7.47,0,1,1,0,2014
3,Craig Anderson,32,OTT,53,52,25,16,8,150,1680,1530,.911,3.00,4,9.5,3000,26,.500,10,104,-5.24,0,1,1,2,2014
4,Richard Bachman,26,EDM,3,3,0,2,1,7,83,76,.916,3.03,0,0.5,139,1,.333,2,,,0,0,0,0,2014
5,Niklas Bäckström,35,MIN,21,19,5,11,2,55,546,491,.899,3.02,0,2.3,1094,9,.474,3,117,-7.95,0,0,0,0,2014
6,Jonathan Bernier,25,TOR,55,49,26,19,7,139,1787,1648,.922,2.70,1,12.6,3084,30,.612,5,90,15.07,0,1,1,4,2014
7,Reto Berra,27,TOT,31,29,9,18,3,88,820,732,.893,3.07,0,2.9,1720,14,.483,7,125,-17.34,0,0,0,2,2014
8,Martin Biron,36,NYR,2,1,0,1,0,9,38,29,.763,7.65,0,-0.5,71,0,.000,1,,,0,0,0,0,2014
